id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1
131912,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,486500,4.56,0.692,0.0,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1u,5040.0,crif,631,cib,45-54,not_inst,78.72168285,north,direct,0,44.0
132894,2019,cf,female,pre,type1,p4,l1,nopc,nob/c,446500,3.75,-0.0266,0.0,360.0,not_neg,not_int,not_lpsm,858000.0,sb,sr,home,1u,13500.0,cib,899,cib,65-74,not_inst,52.03962704,north,direct,0,13.0
96431,2019,cf,joint,nopre,type1,p1,l2,nopc,nob/c,196500,4.56,0.6441,3099.04,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1u,2340.0,exp,632,exp,35-44,to_inst,76.1627907,north,direct,0,49.0
28727,2019,ncf,male,nopre,type1,p4,l1,nopc,nob/c,186500,3.99,0.3858,2555.5550000000003,240.0,neg_amm,not_int,not_lpsm,418000.0,sb,pr,home,1u,6360.0,equi,515,exp,25-34,to_inst,75.11160714,north,direct,1,39.0
99615,2019,ncf,joint,pre,type3,p3,l1,nopc,nob/c,756500,3.99,0.2609,3750.0,360.0,not_neg,not_int,not_lpsm,898000.0,sb,pr,home,1u,15660.0,exp,891,exp,55-64,not_inst,84.24276169,central,direct,0,39.0
32768,2019,cf,male,nopre,type3,p4,l1,nopc,nob/c,586500,3.25,-0.456,46.9,360.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1u,5820.0,cib,629,cib,65-74,not_inst,70.83333333,north,direct,0,39.0
102033,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,146500,4.125,1.022,4210.0,180.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1u,5940.0,crif,687,exp,45-54,to_inst,77.92553191,north,direct,0,49.0
131974,2019,cf,joint,nopre,type1,p1,l2,nopc,nob/c,706500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1u,6480.0,crif,682,exp,55-64,not_inst,85.32608696,north,direct,1,58.0
56714,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,426500,3.75,0.0291,1258.25,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1u,6300.0,crif,829,cib,25-34,not_inst,73.78892734,north,direct,0,41.0
73024,2019,cf,sex not available,nopre,type3,p4,l1,nopc,nob/c,316500,3.875,0.2422,0.0,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,5820.0,exp,713,cib,35-44,to_inst,102.7597403,south,direct,0,39.0
125577,2019,cf,male,pre,type1,p1,l1,nopc,nob/c,176500,4.625,0.4461,3331.29,360.0,neg_amm,not_int,not_lpsm,178000.0,sb,pr,home,1u,3840.0,crif,890,cib,25-34,to_inst,99.15730337,north,direct,0,24.0
54638,2019,cf,joint,nopre,type2,p1,l1,nopc,b/c,226500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1u,6300.0,cib,617,exp,25-34,to_inst,95.16806723,north,direct,1,39.0
71221,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,236500,4.25,0.7527,7596.88,360.0,not_neg,not_int,lpsm,288000.0,sb,pr,home,1u,4440.0,crif,597,cib,55-64,to_inst,82.11805556,south,direct,0,44.0
114053,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,446500,3.99,-0.105,321.4,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1u,7860.0,cib,707,exp,45-54,not_inst,80.01792115,south,direct,0,38.0
56785,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,226500,3.75,0.0511,3000.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1u,6180.0,cib,627,cib,55-64,not_inst,78.64583333,north,direct,0,29.0
130266,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,386500,3.75,0.2813,5993.08,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1u,6060.0,cib,788,cib,25-34,not_inst,64.63210702,north,direct,0,32.0
160928,2019,ncf,female,nopre,type1,p3,l1,nopc,nob/c,216500,4.375,0.3517,2196.35,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1u,2340.0,cib,585,cib,45-54,to_inst,60.47486034,north,direct,0,44.0
45678,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,216500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1u,3240.0,cib,741,cib,35-44,not_inst,83.91472868,south,direct,1,44.0
92094,2019,cf,male,pre,type2,p1,l1,nopc,b/c,276500,5.375,1.9802,0.0,360.0,neg_amm,not_int,not_lpsm,288000.0,sb,pr,home,1u,6240.0,crif,545,cib,35-44,to_inst,96.00694444,central,direct,0,41.0
82847,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,306500,4.375,0.4159,4927.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1u,6660.0,crif,727,exp,65-74,to_inst,81.08465608,north,direct,0,31.0
63559,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,476500,4.125,0.2237,16892.0,360.0,not_neg,not_int,not_lpsm,638000.0,sb,ir,home,1u,5520.0,cib,875,exp,45-54,to_inst,74.68652038,north,direct,0,37.0
138938,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,436500,3.75,0.2576,5378.75,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1u,6120.0,crif,633,exp,35-44,not_inst,89.44672131,north,direct,0,43.0
25711,2019,cf,sex not available,nopre,type1,p4,l1,nopc,nob/c,486500,3.99,0.3858,2555.5550000000003,324.0,neg_amm,int_only,not_lpsm,418000.0,sb,pr,home,1u,6720.0,equi,867,exp,35-44,to_inst,75.11160714,south,direct,1,39.0
64972,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,86500,4.375,0.8936,3327.24,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,2100.0,exp,704,cib,55-64,to_inst,32.2761194,south,direct,0,37.0
85652,2019,cf,female,pre,type1,p1,l1,nopc,nob/c,276500,3.99,0.5446,0.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1u,6960.0,crif,898,cib,25-34,not_inst,96.00694444,north,direct,0,21.0
170436,2019,cf,joint,nopre,type2,p4,l1,nopc,b/c,116500,3.99,0.3858,2555.5550000000003,240.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,4680.0,crif,683,exp,45-54,to_inst,43.47014925,north,direct,1,24.0
51782,2019,cf,male,pre,type1,p1,l1,nopc,nob/c,206500,4.875,1.434,5380.96,360.0,not_neg,not_int,not_lpsm,268000.0,sb,ir,home,1u,1500.0,cib,716,cib,55-64,to_inst,77.05223881,north,direct,0,34.0
80974,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,196500,3.75,0.2774,5226.1,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1u,2520.0,cib,664,cib,55-64,to_inst,76.1627907,south,direct,0,36.0
129375,2019,ncf,male,nopre,type1,p4,l1,nopc,nob/c,676500,3.5,-0.2735,2931.19,360.0,not_neg,not_int,not_lpsm,1408000.0,sb,pr,home,1u,16680.0,cib,792,cib,45-54,to_inst,48.046875,north,direct,0,20.0
97084,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,386500,3.625,0.05,1960.56,360.0,not_neg,int_only,not_lpsm,608000.0,sb,pr,home,1u,4020.0,cib,808,cib,45-54,not_inst,63.56907895,south,direct,0,42.0
132737,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,156500,3.99,0.716,4352.0,240.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,7260.0,crif,832,exp,55-64,to_inst,50.81168831,north,direct,0,43.0
34844,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,506500,4.0,0.4474,0.0,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1u,6120.0,exp,695,cib,35-44,not_inst,94.14498141,north,direct,0,43.0
119571,2019,ncf,joint,pre,type1,p1,l1,nopc,nob/c,1206500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1u,25620.0,equi,700,exp,35-44,not_inst,75.11160714,south,direct,1,39.0
145170,2019,ncf,male,nopre,type1,p3,l1,nopc,nob/c,1336500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,2068000.0,sb,pr,home,1u,4800.0,crif,536,cib,65-74,not_inst,64.62765957,south,direct,1,44.0
67172,2019,cf,male,nopre,type1,p3,l2,nopc,nob/c,76500,4.5,1.4503,2570.0,180.0,not_neg,not_int,not_lpsm,128000.0,sb,pr,home,1u,2340.0,cib,735,cib,65-74,to_inst,59.765625,north,direct,0,27.0
97069,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,396500,3.99,0.5521,7111.28,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1u,4920.0,crif,812,exp,35-44,not_inst,73.69888476,north,direct,0,41.0
133916,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,86500,4.75,0.7294,2850.0,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1u,3060.0,exp,891,exp,65-74,to_inst,41.58653846,south,direct,0,38.0
44748,2019,ncf,joint,nopre,type3,p3,l1,nopc,nob/c,806500,3.99,0.588,999.0,360.0,neg_amm,int_only,not_lpsm,898000.0,sb,pr,home,1u,9360.0,cib,541,exp,55-64,not_inst,89.81069042,north,direct,0,50.0
150919,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,486500,3.25,-0.2507,795.0,360.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1u,7860.0,crif,792,cib,>74,to_inst,58.75603865,south,direct,0,36.0
144945,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,646500,4.25,-0.083,380.75,360.0,not_neg,not_int,not_lpsm,988000.0,sb,pr,home,1u,7800.0,exp,847,exp,35-44,not_inst,65.43522267,south,direct,0,45.0
139631,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,286500,3.5,-0.1152,7362.5,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1u,5400.0,exp,780,cib,35-44,to_inst,80.02793296,central,direct,0,41.0
145820,2019,cf,male,nopre,type1,p2,l1,opc,nob/c,356500,6.24,0.982,2555.5550000000003,360.0,not_neg,int_only,not_lpsm,508000.0,sb,pr,home,1u,6000.0,cib,576,cib,55-64,to_inst,70.17716535,north,direct,0,41.0
93749,2019,cf,joint,pre,type1,p1,l1,nopc,nob/c,136500,3.99,0.6177,5055.0,360.0,not_neg,not_int,not_lpsm,178000.0,sb,sr,home,1u,5940.0,exp,523,exp,55-64,to_inst,76.68539326,north,direct,0,38.0
77118,2019,cf,sex not available,nopre,type1,p1,l1,nopc,nob/c,256500,3.375,-0.1556,2392.45,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,6900.0,exp,719,exp,25-34,to_inst,83.27922078,south,direct,0,30.0
154361,2019,cf,joint,nopre,type1,p4,l2,nopc,nob/c,226500,3.75,0.0413,2565.69,360.0,not_neg,not_int,not_lpsm,1558000.0,sb,ir,home,1u,12360.0,cib,593,exp,55-64,to_inst,14.53786906,north,direct,0,7.0
46407,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,226500,3.75,0.2752,3744.13,360.0,neg_amm,not_int,not_lpsm,508000.0,sb,pr,home,1u,3480.0,cib,680,cib,65-74,to_inst,44.58661417,south,direct,0,41.0
145031,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,386500,3.99,-0.0452,5575.0,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1u,9900.0,crif,690,exp,25-34,not_inst,80.85774059,north,direct,0,33.0
155019,2019,cf,male,nopre,type3,p3,l1,nopc,nob/c,196500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1u,5340.0,cib,512,cib,35-44,to_inst,86.18421053,south,direct,1,59.0
79048,2019,ncf,sex not available,pre,type2,p1,l1,nopc,b/c,136500,3.99,1.3996,1570.04,360.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1u,2280.0,exp,548,exp,25-34,to_inst,92.22972973,south,direct,0,57.0
160736,2019,cf,joint,pre,type3,p4,l1,nopc,nob/c,526500,3.875,0.1181,0.0,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1u,5820.0,exp,503,exp,25-34,not_inst,99.71590909,south,direct,0,39.0
138657,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,166500,3.99,1.1498,3438.25,168.0,not_neg,not_int,not_lpsm,298000.0,sb,sr,home,1u,5100.0,crif,612,cib,55-64,to_inst,55.87248322,central,direct,0,37.0
131052,2019,ncf,sex not available,nopre,type1,p1,l1,nopc,nob/c,546500,3.875,0.107,2835.0,360.0,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1u,9300.0,crif,572,exp,35-44,to_inst,79.43313953,south,direct,0,37.0
42862,2019,ncf,male,pre,type1,p1,l1,nopc,nob/c,706500,3.99,0.2279,795.0,360.0,not_neg,not_int,not_lpsm,878000.0,sb,pr,home,1u,14760.0,cib,616,cib,35-44,to_inst,80.46697039,north,direct,0,21.0
75051,2019,cf,female,pre,type1,p1,l1,nopc,nob/c,546500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,418000.0,sb,sr,home,1u,20100.0,equi,897,exp,55-64,not_inst,75.11160714,north,direct,1,39.0
75121,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,486500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,lpsm,418000.0,sb,ir,home,1u,10620.0,equi,507,exp,35-44,not_inst,75.11160714,north,direct,1,39.0
56965,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,196500,3.99,1.2561,2710.63,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1u,9900.0,cib,632,exp,45-54,to_inst,94.47115385,south,direct,0,34.0
74931,2019,cf,female,pre,type1,p1,l1,nopc,nob/c,156500,4.375,0.453,4485.0,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1u,5580.0,cib,743,cib,55-64,to_inst,79.04040404,north,direct,0,37.0
34463,2019,ncf,joint,nopre,type3,p3,l1,nopc,nob/c,586500,3.99,0.3858,2555.5550000000003,360.0,not_neg,int_only,not_lpsm,678000.0,sb,pr,home,1u,6660.0,crif,812,exp,65-74,not_inst,86.50442478,south,direct,1,59.0
66604,2019,cf,joint,nopre,type3,p4,l1,nopc,nob/c,476500,2.99,-0.511,4624.49,360.0,not_neg,int_only,not_lpsm,618000.0,sb,pr,home,1u,5820.0,cib,775,exp,55-64,to_inst,77.10355987,north,direct,0,39.0
30651,2019,cf,male,nopre,type3,p3,l1,nopc,nob/c,426500,3.49,-0.1398,4200.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1u,6540.0,exp,849,cib,65-74,to_inst,99.64953271,north,direct,0,32.0
66716,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,306500,3.99,0.3858,2555.5550000000003,360.0,not_neg,int_only,not_lpsm,338000.0,sb,pr,home,1u,4620.0,crif,766,cib,35-44,to_inst,90.68047337,south,direct,1,34.0
146858,2019,cf,male,pre,type3,p3,l1,nopc,nob/c,106500,3.625,-0.0758,2000.0,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1u,1320.0,crif,503,cib,65-74,to_inst,77.17391304,south,direct,0,37.0
110028,2019,ncf,joint,nopre,type3,p4,l1,nopc,nob/c,556500,3.375,-0.3581,155.02,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1u,5820.0,crif,856,exp,35-44,not_inst,96.28027682,south,direct,0,39.0
76070,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,566500,4.125,0.5092,170.7,360.0,neg_amm,not_int,not_lpsm,728000.0,sb,pr,home,1u,6540.0,crif,800,cib,35-44,not_inst,77.81593407,north,direct,0,41.0
38202,2019,cf,sex not available,nopre,type1,p2,l1,nopc,nob/c,206500,3.25,-0.2538,2555.5550000000003,360.0,not_neg,not_int,lpsm,358000.0,sb,pr,home,1u,2520.0,exp,616,cib,55-64,to_inst,57.68156425,south,direct,0,46.0
88623,2019,cf,female,pre,type1,p4,l1,nopc,nob/c,406500,3.875,0.1514,4292.0,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1u,6600.0,cib,849,cib,55-64,to_inst,83.29918033,north,direct,0,39.0
137715,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,226500,3.625,0.0641,812.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1u,4260.0,cib,728,cib,55-64,not_inst,38.52040816,north,direct,0,21.0
85615,2019,cf,sex not available,nopre,type1,p1,l1,nopc,nob/c,726500,4.99,0.7452,2058.16,360.0,not_neg,not_int,not_lpsm,848000.0,sb,pr,home,1u,11700.0,crif,787,cib,35-44,to_inst,85.67216981,south,direct,0,40.0
87887,2019,cf,female,nopre,type1,p1,l2,nopc,nob/c,56500,3.99,0.3858,2555.5550000000003,300.0,neg_amm,not_int,not_lpsm,58000.0,sb,pr,home,1u,1440.0,cib,693,cib,55-64,to_inst,97.4137931,north,direct,1,57.0
125643,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,396500,3.75,-0.0272,0.0,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1u,11460.0,exp,730,exp,55-64,not_inst,75.09469697,north,direct,0,48.0
171796,2019,cf,sex not available,nopre,type2,p2,l1,nopc,b/c,56500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,lpsm,418000.0,sb,pr,home,1u,1140.0,equi,858,exp,55-64,to_inst,75.11160714,south,direct,1,39.0
102914,2019,cf,sex not available,nopre,type1,p1,l1,nopc,nob/c,106500,5.5,1.2348,2753.35,360.0,neg_amm,not_int,not_lpsm,148000.0,sb,ir,home,1u,7680.0,exp,744,exp,45-54,to_inst,71.95945946,south,direct,0,32.0
81296,2019,cf,sex not available,nopre,type1,p4,l1,nopc,nob/c,156500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1u,1740.0,equi,531,exp,65-74,to_inst,75.11160714,south,direct,1,39.0
102183,2019,cf,sex not available,nopre,type3,p4,l1,nopc,nob/c,316500,3.25,-0.4137,3580.32,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1u,5820.0,crif,552,exp,65-74,to_inst,86.00543478,south,direct,0,39.0
94225,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,296500,4.5,-0.0559,6578.6,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1u,6540.0,exp,549,cib,65-74,to_inst,58.36614173,south,direct,0,22.0
33503,2019,cf,sex not available,nopre,type3,p4,l1,nopc,nob/c,156500,3.375,-0.3314,594.75,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1u,5820.0,exp,823,exp,55-64,to_inst,83.24468085,south,direct,0,39.0
73711,2019,cf,male,pre,type1,p4,l1,nopc,nob/c,606500,3.99,0.1202,0.0,360.0,not_neg,not_int,not_lpsm,778000.0,sb,pr,home,1u,8400.0,crif,786,cib,55-64,to_inst,77.9562982,central,direct,0,37.0
51217,2019,cf,female,pre,type1,p4,l1,nopc,nob/c,296500,3.5,-0.1589,3612.6,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1u,7920.0,exp,625,cib,45-54,not_inst,57.23938224,north,direct,0,28.0
76177,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,236500,4.375,-0.0963,85.23,360.0,neg_amm,not_int,not_lpsm,438000.0,sb,pr,home,1u,4620.0,exp,739,exp,>74,not_inst,53.99543379,north,direct,0,26.0
111508,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,316500,4.625,0.2519,0.0,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1u,8100.0,cib,509,exp,>74,to_inst,39.17079208,north,direct,0,47.0
140990,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,216500,4.875,1.4996,5490.0,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,6180.0,exp,501,cib,65-74,to_inst,80.78358209,south,direct,0,41.0
108247,2019,cf,male,nopre,type3,p4,l1,nopc,nob/c,196500,2.99,-0.6717,2870.45,300.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1u,5820.0,exp,625,exp,65-74,to_inst,53.39673913,north,direct,0,39.0
37062,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,236500,3.99,0.5574,7638.39,348.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1u,4620.0,exp,748,exp,65-74,to_inst,64.26630435,south,direct,0,43.0
57079,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,236500,3.5,-0.0674,1236.35,360.0,not_neg,int_only,not_lpsm,418000.0,sb,pr,home,1u,7140.0,cib,566,exp,65-74,not_inst,56.57894737,north,direct,0,31.0
69037,2019,cf,female,pre,type1,p3,l1,nopc,nob/c,276500,4.56,0.2374,3249.25,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1u,4260.0,cib,775,exp,45-54,to_inst,67.76960784,south,direct,0,44.0
151976,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,126500,3.25,0.5652,3706.25,180.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,3840.0,cib,535,cib,55-64,to_inst,41.07142857,south,direct,0,22.0
81048,2019,cf,female,nopre,type3,p3,l1,nopc,nob/c,486500,4.5,0.4,5306.89,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1u,3660.0,crif,668,cib,>74,to_inst,92.14015152,north,direct,0,51.0
132537,2019,ncf,male,nopre,type2,p3,l1,nopc,b/c,186500,4.5,1.0845,1172.98,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1u,3600.0,cib,900,cib,35-44,to_inst,85.55045872,north,direct,0,57.0
62015,2019,cf,sex not available,nopre,type1,p1,l1,nopc,nob/c,356500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1u,15060.0,equi,749,exp,45-54,not_inst,75.11160714,north,direct,1,39.0
35273,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,686500,3.625,-0.0677,205.41,360.0,not_neg,not_int,not_lpsm,1238000.0,sb,pr,home,1u,9540.0,cib,666,cib,55-64,not_inst,55.45234249,south,direct,0,46.0
47473,2019,cf,sex not available,nopre,type3,p3,l1,nopc,nob/c,126500,4.5,0.3118,2632.88,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,3360.0,exp,621,exp,65-74,to_inst,41.07142857,south,direct,0,41.0
68786,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,476500,3.625,0.0995,1184.35,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1u,6900.0,exp,823,exp,35-44,not_inst,93.7992126,north,direct,0,44.0
146504,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,376500,4.25,-0.0832,2105.78,360.0,neg_amm,not_int,not_lpsm,398000.0,sb,pr,home,1u,4860.0,crif,801,cib,25-34,not_inst,94.59798995,south,direct,0,41.0
61754,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,256500,3.99,0.3349,6300.0,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1u,5160.0,exp,638,exp,35-44,to_inst,58.56164384,north,direct,0,40.0
64247,2019,cf,female,nopre,type2,p4,l1,nopc,b/c,196500,3.99,1.1476,0.0,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,5820.0,exp,772,cib,45-54,to_inst,73.32089552,north,direct,0,39.0
166210,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,486500,3.99,0.3858,2555.5550000000003,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1u,10980.0,equi,859,exp,55-64,to_inst,75.11160714,south,direct,1,39.0
73117,2019,cf,male,pre,type1,p3,l1,nopc,nob/c,196500,5.375,1.3171,6537.38,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,4560.0,exp,695,cib,65-74,to_inst,73.32089552,north,direct,0,38.0
