id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,status,debt_to_income_ratio,ltv_risk_bucket,credit_score_bucket
64972,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,86500,4.375,0.8936,3327.24,360.0,no,no,no,268000.0,sb,primary residence,1u,2100.0,experian,704,cib,55-64,to_inst,32.2761194,south,0,37.0,Low,Very Good
85652,2019,conforming loan,female,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,276500,3.99,0.5446,0.0,360.0,no,no,no,288000.0,sb,primary residence,1u,6960.0,crif,898,cib,25-34,not_inst,96.00694444,north,0,21.0,Very High,Excellent
170436,2019,conforming loan,joint,no pre-approval,personal loan,business purpose,high creditworthy,no open credit,business use,116500,3.99,0.3858,2555.5550000000003,240.0,no,no,no,268000.0,sb,primary residence,1u,4680.0,crif,683,exp,45-54,to_inst,43.47014925,north,1,24.0,Low,Good
51782,2019,conforming loan,male,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,206500,4.875,1.434,5380.96,360.0,no,no,no,268000.0,sb,ir,1u,1500.0,cibil,716,cib,55-64,to_inst,77.05223881,north,0,34.0,Moderate,Very Good
80974,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,196500,3.75,0.2774,5226.1,360.0,no,no,no,258000.0,sb,primary residence,1u,2520.0,cibil,664,cib,55-64,to_inst,76.1627907,south,0,36.0,Moderate,Good
129375,2019,non-conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,676500,3.5,-0.2735,2931.19,360.0,no,no,no,1408000.0,sb,primary residence,1u,16680.0,cibil,792,cib,45-54,to_inst,48.046875,north,0,20.0,Low,Excellent
97084,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,386500,3.625,0.05,1960.56,360.0,no,yes,no,608000.0,sb,primary residence,1u,4020.0,cibil,808,cib,45-54,not_inst,63.56907895,south,0,42.0,Moderate,Excellent
132737,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,156500,3.99,0.716,4352.0,240.0,no,no,no,308000.0,sb,primary residence,1u,7260.0,crif,832,exp,55-64,to_inst,50.81168831,north,0,43.0,Low,Excellent
34844,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,506500,4.0,0.4474,0.0,360.0,no,no,no,538000.0,sb,primary residence,1u,6120.0,experian,695,cib,35-44,not_inst,94.14498141,north,0,43.0,Very High,Good
119571,2019,non-conforming loan,joint,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,1206500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,418000.0,sb,primary residence,1u,25620.0,equifax,700,exp,35-44,not_inst,75.11160714,south,1,39.0,Moderate,Very Good
145170,2019,non-conforming loan,male,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,1336500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,2068000.0,sb,primary residence,1u,4800.0,crif,536,cib,65-74,not_inst,64.62765957,south,1,44.0,Moderate,Poor
67172,2019,conforming loan,male,no pre-approval,home loan,debt consolidation,medium creditworthy,no open credit,personal use,76500,4.5,1.4503,2570.0,180.0,no,no,no,128000.0,sb,primary residence,1u,2340.0,cibil,735,cib,65-74,to_inst,59.765625,north,0,27.0,Low,Very Good
97069,2019,conforming loan,joint,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,396500,3.99,0.5521,7111.28,360.0,no,no,no,538000.0,sb,primary residence,1u,4920.0,crif,812,exp,35-44,not_inst,73.69888476,north,0,41.0,Moderate,Excellent
133916,2019,conforming loan,joint,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,86500,4.75,0.7294,2850.0,360.0,no,no,no,208000.0,sb,primary residence,1u,3060.0,experian,891,exp,65-74,to_inst,41.58653846,south,0,38.0,Low,Excellent
44748,2019,non-conforming loan,joint,no pre-approval,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,806500,3.99,0.588,999.0,360.0,yes,yes,no,898000.0,sb,primary residence,1u,9360.0,cibil,541,exp,55-64,not_inst,89.81069042,north,0,50.0,High,Poor
150919,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,486500,3.25,-0.2507,795.0,360.0,no,no,no,828000.0,sb,primary residence,1u,7860.0,crif,792,cib,>74,to_inst,58.75603865,south,0,36.0,Low,Excellent
144945,2019,conforming loan,female,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,646500,4.25,-0.083,380.75,360.0,no,no,no,988000.0,sb,primary residence,1u,7800.0,experian,847,exp,35-44,not_inst,65.43522267,south,0,45.0,Moderate,Excellent
139631,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,286500,3.5,-0.1152,7362.5,360.0,no,no,no,358000.0,sb,primary residence,1u,5400.0,experian,780,cib,35-44,to_inst,80.02793296,central,0,41.0,High,Excellent
145820,2019,conforming loan,male,no pre-approval,home loan,home improvement,high creditworthy,open credit line,personal use,356500,6.24,0.982,2555.5550000000003,360.0,no,yes,no,508000.0,sb,primary residence,1u,6000.0,cibil,576,cib,55-64,to_inst,70.17716535,north,0,41.0,Moderate,Poor
93749,2019,conforming loan,joint,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,136500,3.99,0.6177,5055.0,360.0,no,no,no,178000.0,sb,secondary residence,1u,5940.0,experian,523,exp,55-64,to_inst,76.68539326,north,0,38.0,Moderate,Poor
77118,2019,conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,256500,3.375,-0.1556,2392.45,360.0,no,no,no,308000.0,sb,primary residence,1u,6900.0,experian,719,exp,25-34,to_inst,83.27922078,south,0,30.0,High,Very Good
154361,2019,conforming loan,joint,no pre-approval,home loan,business purpose,medium creditworthy,no open credit,personal use,226500,3.75,0.0413,2565.69,360.0,no,no,no,1558000.0,sb,ir,1u,12360.0,cibil,593,exp,55-64,to_inst,14.53786906,north,0,7.0,Low,Poor
46407,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,226500,3.75,0.2752,3744.13,360.0,yes,no,no,508000.0,sb,primary residence,1u,3480.0,cibil,680,cib,65-74,to_inst,44.58661417,south,0,41.0,Low,Good
145031,2019,conforming loan,joint,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,386500,3.99,-0.0452,5575.0,360.0,no,no,no,478000.0,sb,primary residence,1u,9900.0,crif,690,exp,25-34,not_inst,80.85774059,north,0,33.0,High,Good
155019,2019,conforming loan,male,no pre-approval,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,196500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,228000.0,sb,primary residence,1u,5340.0,cibil,512,cib,35-44,to_inst,86.18421053,south,1,59.0,High,Poor
79048,2019,non-conforming loan,sex not available,pre-approved,personal loan,home purchase,high creditworthy,no open credit,business use,136500,3.99,1.3996,1570.04,360.0,no,no,no,148000.0,sb,primary residence,1u,2280.0,experian,548,exp,25-34,to_inst,92.22972973,south,0,57.0,Very High,Poor
160736,2019,conforming loan,joint,pre-approved,commercial loan,business purpose,high creditworthy,no open credit,personal use,526500,3.875,0.1181,0.0,360.0,no,no,no,528000.0,sb,primary residence,1u,5820.0,experian,503,exp,25-34,not_inst,99.71590909,south,0,39.0,Very High,Poor
138657,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,166500,3.99,1.1498,3438.25,168.0,no,no,no,298000.0,sb,secondary residence,1u,5100.0,crif,612,cib,55-64,to_inst,55.87248322,central,0,37.0,Low,Fair
131052,2019,non-conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,546500,3.875,0.107,2835.0,360.0,no,no,no,688000.0,sb,primary residence,1u,9300.0,crif,572,exp,35-44,to_inst,79.43313953,south,0,37.0,Moderate,Poor
42862,2019,non-conforming loan,male,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,706500,3.99,0.2279,795.0,360.0,no,no,no,878000.0,sb,primary residence,1u,14760.0,cibil,616,cib,35-44,to_inst,80.46697039,north,0,21.0,High,Fair
75051,2019,conforming loan,female,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,546500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,418000.0,sb,secondary residence,1u,20100.0,equifax,897,exp,55-64,not_inst,75.11160714,north,1,39.0,Moderate,Excellent
75121,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,486500,3.99,0.3858,2555.5550000000003,360.0,no,no,yes,418000.0,sb,ir,1u,10620.0,equifax,507,exp,35-44,not_inst,75.11160714,north,1,39.0,Moderate,Poor
56965,2019,conforming loan,joint,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,196500,3.99,1.2561,2710.63,360.0,no,no,no,208000.0,sb,primary residence,1u,9900.0,cibil,632,exp,45-54,to_inst,94.47115385,south,0,34.0,Very High,Fair
74931,2019,conforming loan,female,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,156500,4.375,0.453,4485.0,360.0,no,no,no,198000.0,sb,primary residence,1u,5580.0,cibil,743,cib,55-64,to_inst,79.04040404,north,0,37.0,Moderate,Very Good
34463,2019,non-conforming loan,joint,no pre-approval,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,586500,3.99,0.3858,2555.5550000000003,360.0,no,yes,no,678000.0,sb,primary residence,1u,6660.0,crif,812,exp,65-74,not_inst,86.50442478,south,1,59.0,High,Excellent
66604,2019,conforming loan,joint,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,476500,2.99,-0.511,4624.49,360.0,no,yes,no,618000.0,sb,primary residence,1u,5820.0,cibil,775,exp,55-64,to_inst,77.10355987,north,0,39.0,Moderate,Excellent
30651,2019,conforming loan,male,no pre-approval,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,426500,3.49,-0.1398,4200.0,360.0,no,no,no,428000.0,sb,primary residence,1u,6540.0,experian,849,cib,65-74,to_inst,99.64953271,north,0,32.0,Very High,Excellent
66716,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,306500,3.99,0.3858,2555.5550000000003,360.0,no,yes,no,338000.0,sb,primary residence,1u,4620.0,crif,766,cib,35-44,to_inst,90.68047337,south,1,34.0,Very High,Excellent
146858,2019,conforming loan,male,pre-approved,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,106500,3.625,-0.0758,2000.0,360.0,no,no,no,138000.0,sb,primary residence,1u,1320.0,crif,503,cib,65-74,to_inst,77.17391304,south,0,37.0,Moderate,Poor
110028,2019,non-conforming loan,joint,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,556500,3.375,-0.3581,155.02,360.0,no,no,no,578000.0,sb,primary residence,1u,5820.0,crif,856,exp,35-44,not_inst,96.28027682,south,0,39.0,Very High,Excellent
76070,2019,conforming loan,female,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,566500,4.125,0.5092,170.7,360.0,yes,no,no,728000.0,sb,primary residence,1u,6540.0,crif,800,cib,35-44,not_inst,77.81593407,north,0,41.0,Moderate,Excellent
38202,2019,conforming loan,sex not available,no pre-approval,home loan,home improvement,high creditworthy,no open credit,personal use,206500,3.25,-0.2538,2555.5550000000003,360.0,no,no,yes,358000.0,sb,primary residence,1u,2520.0,experian,616,cib,55-64,to_inst,57.68156425,south,0,46.0,Low,Fair
88623,2019,conforming loan,female,pre-approved,home loan,business purpose,high creditworthy,no open credit,personal use,406500,3.875,0.1514,4292.0,360.0,no,no,no,488000.0,sb,primary residence,1u,6600.0,cibil,849,cib,55-64,to_inst,83.29918033,north,0,39.0,High,Excellent
137715,2019,conforming loan,female,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,226500,3.625,0.0641,812.0,360.0,no,no,no,588000.0,sb,primary residence,1u,4260.0,cibil,728,cib,55-64,not_inst,38.52040816,north,0,21.0,Low,Very Good
85615,2019,conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,726500,4.99,0.7452,2058.16,360.0,no,no,no,848000.0,sb,primary residence,1u,11700.0,crif,787,cib,35-44,to_inst,85.67216981,south,0,40.0,High,Excellent
87887,2019,conforming loan,female,no pre-approval,home loan,home purchase,medium creditworthy,no open credit,personal use,56500,3.99,0.3858,2555.5550000000003,300.0,yes,no,no,58000.0,sb,primary residence,1u,1440.0,cibil,693,cib,55-64,to_inst,97.4137931,north,1,57.0,Very High,Good
125643,2019,conforming loan,joint,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,396500,3.75,-0.0272,0.0,360.0,no,no,no,528000.0,sb,primary residence,1u,11460.0,experian,730,exp,55-64,not_inst,75.09469697,north,0,48.0,Moderate,Very Good
171796,2019,conforming loan,sex not available,no pre-approval,personal loan,home improvement,high creditworthy,no open credit,business use,56500,3.99,0.3858,2555.5550000000003,360.0,no,no,yes,418000.0,sb,primary residence,1u,1140.0,equifax,858,exp,55-64,to_inst,75.11160714,south,1,39.0,Moderate,Excellent
102914,2019,conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,106500,5.5,1.2348,2753.35,360.0,yes,no,no,148000.0,sb,ir,1u,7680.0,experian,744,exp,45-54,to_inst,71.95945946,south,0,32.0,Moderate,Very Good
81296,2019,conforming loan,sex not available,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,156500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,418000.0,sb,primary residence,1u,1740.0,equifax,531,exp,65-74,to_inst,75.11160714,south,1,39.0,Moderate,Poor
102183,2019,conforming loan,sex not available,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,316500,3.25,-0.4137,3580.32,360.0,no,no,no,368000.0,sb,primary residence,1u,5820.0,crif,552,exp,65-74,to_inst,86.00543478,south,0,39.0,High,Poor
94225,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,296500,4.5,-0.0559,6578.6,360.0,no,no,no,508000.0,sb,primary residence,1u,6540.0,experian,549,cib,65-74,to_inst,58.36614173,south,0,22.0,Low,Poor
33503,2019,conforming loan,sex not available,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,156500,3.375,-0.3314,594.75,360.0,no,no,no,188000.0,sb,primary residence,1u,5820.0,experian,823,exp,55-64,to_inst,83.24468085,south,0,39.0,High,Excellent
73711,2019,conforming loan,male,pre-approved,home loan,business purpose,high creditworthy,no open credit,personal use,606500,3.99,0.1202,0.0,360.0,no,no,no,778000.0,sb,primary residence,1u,8400.0,crif,786,cib,55-64,to_inst,77.9562982,central,0,37.0,Moderate,Excellent
51217,2019,conforming loan,female,pre-approved,home loan,business purpose,high creditworthy,no open credit,personal use,296500,3.5,-0.1589,3612.6,360.0,no,no,no,518000.0,sb,primary residence,1u,7920.0,experian,625,cib,45-54,not_inst,57.23938224,north,0,28.0,Low,Fair
76177,2019,conforming loan,joint,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,236500,4.375,-0.0963,85.23,360.0,yes,no,no,438000.0,sb,primary residence,1u,4620.0,experian,739,exp,>74,not_inst,53.99543379,north,0,26.0,Low,Very Good
111508,2019,conforming loan,joint,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,316500,4.625,0.2519,0.0,360.0,no,no,no,808000.0,sb,primary residence,1u,8100.0,cibil,509,exp,>74,to_inst,39.17079208,north,0,47.0,Low,Poor
140990,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,216500,4.875,1.4996,5490.0,360.0,no,no,no,268000.0,sb,primary residence,1u,6180.0,experian,501,cib,65-74,to_inst,80.78358209,south,0,41.0,High,Poor
108247,2019,conforming loan,male,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,196500,2.99,-0.6717,2870.45,300.0,no,no,no,368000.0,sb,primary residence,1u,5820.0,experian,625,exp,65-74,to_inst,53.39673913,north,0,39.0,Low,Fair
37062,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,236500,3.99,0.5574,7638.39,348.0,no,no,no,368000.0,sb,primary residence,1u,4620.0,experian,748,exp,65-74,to_inst,64.26630435,south,0,43.0,Moderate,Very Good
57079,2019,conforming loan,joint,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,236500,3.5,-0.0674,1236.35,360.0,no,yes,no,418000.0,sb,primary residence,1u,7140.0,cibil,566,exp,65-74,not_inst,56.57894737,north,0,31.0,Low,Poor
69037,2019,conforming loan,female,pre-approved,home loan,debt consolidation,high creditworthy,no open credit,personal use,276500,4.56,0.2374,3249.25,360.0,no,no,no,408000.0,sb,primary residence,1u,4260.0,cibil,775,exp,45-54,to_inst,67.76960784,south,0,44.0,Moderate,Excellent
151976,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,126500,3.25,0.5652,3706.25,180.0,no,no,no,308000.0,sb,primary residence,1u,3840.0,cibil,535,cib,55-64,to_inst,41.07142857,south,0,22.0,Low,Poor
81048,2019,conforming loan,female,no pre-approval,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,486500,4.5,0.4,5306.89,360.0,no,no,no,528000.0,sb,primary residence,1u,3660.0,crif,668,cib,>74,to_inst,92.14015152,north,0,51.0,Very High,Good
132537,2019,non-conforming loan,male,no pre-approval,personal loan,debt consolidation,high creditworthy,no open credit,business use,186500,4.5,1.0845,1172.98,360.0,no,no,no,218000.0,sb,primary residence,1u,3600.0,cibil,900,cib,35-44,to_inst,85.55045872,north,0,57.0,High,Excellent
62015,2019,conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,356500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,418000.0,sb,primary residence,1u,15060.0,equifax,749,exp,45-54,not_inst,75.11160714,north,1,39.0,Moderate,Very Good
